	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)
VARIABLES	age	hhhead	eth_hausa	hhmem_no	edchild_percent	assets	drought	cellphone	accesscellphone	usecellphone	makecall	receivecall
												
abc	-0.36	-0.01	0.01	0.02	-0.00	-0.03	-0.03	-0.00	0.04*	0.04	0.03	0.03
	(0.93)	(0.02)	(0.03)	(0.25)	(0.02)	(0.10)	(0.03)	(0.03)	(0.02)	(0.03)	(0.04)	(0.03)
_Iavcode_2	-0.66	-0.05	0.53***	0.71	-0.15***	0.78***	-0.26***	-0.07	-0.09	0.01	0.09	-0.19***
	(3.34)	(0.06)	(0.16)	(0.72)	(0.05)	(0.23)	(0.06)	(0.11)	(0.07)	(0.11)	(0.12)	(0.07)
_Iavcode_3	-0.95	0.03	0.59***	1.04	-0.02	0.52**	-0.28***	-0.10	-0.03	-0.14	0.21**	-0.15
	(3.13)	(0.07)	(0.16)	(0.74)	(0.06)	(0.22)	(0.09)	(0.12)	(0.08)	(0.11)	(0.10)	(0.10)
_Iavcode_4	3.82	0.12**	0.58***	1.82*	-0.09	0.40*	-0.26***	0.10	0.02	0.04	0.17	0.03
	(3.40)	(0.05)	(0.16)	(0.99)	(0.06)	(0.21)	(0.07)	(0.11)	(0.07)	(0.11)	(0.10)	(0.05)
_Iavcode_5	2.70	0.01	-0.05	0.70	-0.11	0.03	-0.03	0.02	0.04	0.09	0.03	0.01
	(3.58)	(0.05)	(0.18)	(0.78)	(0.07)	(0.31)	(0.06)	(0.13)	(0.07)	(0.12)	(0.11)	(0.05)
_Iavcode_6	-2.24	0.09**	-0.38**	-1.74	-0.04	-0.36**	-0.01	-0.30***	-0.27**	-0.17	-0.30***	-0.00
	(4.06)	(0.04)	(0.16)	(1.22)	(0.07)	(0.17)	(0.10)	(0.11)	(0.10)	(0.15)	(0.10)	(0.10)
