	(1)	(2)	(3)	(4)
VARIABLES	levelno	teacherage	femaleteacher	local
				
abc	0.08	-0.31	0.06	-0.02
	(0.22)	(1.18)	(0.04)	(0.05)
_Iavcode_2	0.78	1.02	0.24***	-0.29
	(0.49)	(6.51)	(0.07)	(0.29)
_Iavcode_3	-0.10	-1.01	0.17	0.31
	(0.50)	(6.26)	(0.11)	(0.19)
_Iavcode_4	-1.46***	0.01	0.24**	0.30
	(0.55)	(6.06)	(0.11)	(0.19)
_Iavcode_5	-1.54***	-4.12	0.28**	0.31
	(0.57)	(5.66)	(0.13)	(0.19)
_Iavcode_6	0.60	-6.00	0.43***	-0.69***
	(0.39)	(5.62)	(0.06)	(0.19)
_Iavcode_8	-0.65	0.67	0.26	-0.19
	(0.76)	(6.03)	(0.17)	(0.26)
_Iavcode_9	-0.42	-2.68	0.24***	-0.39
	(0.51)	(6.33)	(0.07)	(0.31)
_Iavcode_10	-1.57**	3.90	0.39***	-0.07
	(0.62)	(5.95)	(0.15)	(0.28)
_Iavcode_11	0.44	-7.00	0.60***	-0.69***
	(0.42)	(5.74)	(0.08)	(0.19)
_Iavcode_12	0.13	-0.91	0.39***	-0.20
	(0.47)	(6.22)	(0.11)	(0.27)
_Iavcode_13	-1.02*	-2.21	0.40***	0.21
	(0.58)	(6.81)	(0.07)	(0.21)
_Iavcode_14	-0.73	0.67	-0.07	0.31
	(0.71)	(6.11)	(0.06)	(0.19)
_Iavcode_15	-1.27	-2.01	0.33**	0.31
	(0.78)	(6.27)	(0.14)	(0.19)
_Iavcode_16	-1.55**	-5.07	0.14	0.31
	(0.70)	(5.78)	(0.15)	(0.19)
_Iavcode_17	-0.42	4.95	0.51***	-0.36
	(0.45)	(6.15)	(0.10)	(0.24)
_Iavcode_18	-0.29	-2.61	0.43***	-0.32
	(0.54)	(6.11)	(0.10)	(0.27)
_Iavcode_19	-1.95**	-4.68	0.28*	0.30
	(0.81)	(5.76)	(0.17)	(0.19)
_Iavcode_20	-0.16	-5.42	0.33***	-0.25
	(0.52)	(5.76)	(0.09)	(0.24)
_Iavcode_21	0.23	-7.22	0.33***	-0.53**
	(0.42)	(5.90)	(0.11)	(0.23)
_Iavcode_22	-2.27**	5.96	0.14	0.30
	(0.87)	(7.19)	(0.12)	(0.19)
_Iavcode_23	-1.86**	-0.82	0.36***	0.19
	(0.86)	(6.25)	(0.09)	(0.22)
_Iavcode_24	0.02	1.45	0.25*	0.31
	(0.52)	(5.72)	(0.14)	(0.19)
				
Observations	337	336	341	345
R-squared	0.19	0.15	0.08	0.49
Robust standard errors in parentheses				
*** p<0.01, ** p<0.05, * p<0.1				
